entity,MeSH_ID
http://www.wikidata.org/entity/Q191156,D049936
http://www.wikidata.org/entity/Q203989,D050866
http://www.wikidata.org/entity/Q192805,D052285
http://www.wikidata.org/entity/Q199687,D058998
http://www.wikidata.org/entity/Q188956,D061066
http://www.wikidata.org/entity/Q209355,C005073
http://www.wikidata.org/entity/Q223089,C023500
http://www.wikidata.org/entity/Q223011,C051800
http://www.wikidata.org/entity/Q221174,D000077236
http://www.wikidata.org/entity/Q211036,D000697
http://www.wikidata.org/entity/Q212032,D001407
http://www.wikidata.org/entity/Q221817,D001441
http://www.wikidata.org/entity/Q208413,D001905
http://www.wikidata.org/entity/Q208353,D002940
http://www.wikidata.org/entity/Q210538,D004260
http://www.wikidata.org/entity/Q219715,D004262
http://www.wikidata.org/entity/Q216933,D004452
http://www.wikidata.org/entity/Q213912,D004757
http://www.wikidata.org/entity/Q212743,D004817
http://www.wikidata.org/entity/Q207791,D005329
http://www.wikidata.org/entity/Q223143,D006098
http://www.wikidata.org/entity/Q217740,D008062
http://www.wikidata.org/entity/Q206120,D008176
http://www.wikidata.org/entity/Q208562,D008382
http://www.wikidata.org/entity/Q208453,D009130
http://www.wikidata.org/entity/Q207843,D009569
http://www.wikidata.org/entity/Q211891,D009608
http://www.wikidata.org/entity/Q207125,D009633
http://www.wikidata.org/entity/Q7130412,D010190
http://www.wikidata.org/entity/Q206920,D010457
http://www.wikidata.org/entity/Q208042,D012044
http://www.wikidata.org/entity/Q216852,D013974
http://www.wikidata.org/entity/Q206675,D014101
http://www.wikidata.org/entity/Q211935,D014176
http://www.wikidata.org/entity/Q209450,D015081
http://www.wikidata.org/entity/Q220188,D016262
http://www.wikidata.org/entity/Q207604,D018519
http://www.wikidata.org/entity/Q4095199,D019274
http://www.wikidata.org/entity/Q209155,D019794
http://www.wikidata.org/entity/Q216635,D054046
http://www.wikidata.org/entity/Q221096,D055818
http://www.wikidata.org/entity/Q218870,D056692
http://www.wikidata.org/entity/Q220187,D059392
http://www.wikidata.org/entity/Q219477,D066189
http://www.wikidata.org/entity/Q230013,C078956
http://www.wikidata.org/entity/Q231218,D000069497
http://www.wikidata.org/entity/Q239778,D001964
http://www.wikidata.org/entity/Q238477,D001976
http://www.wikidata.org/entity/Q223851,D003337
http://www.wikidata.org/entity/Q228537,D005542
http://www.wikidata.org/entity/Q232358,D013710
http://www.wikidata.org/entity/Q231550,D016675
http://www.wikidata.org/entity/Q228172,D033162
http://www.wikidata.org/entity/Q237229,D050279
http://www.wikidata.org/entity/Q238521,D058831
http://www.wikidata.org/entity/Q246002,C536330
http://www.wikidata.org/entity/Q245282,D000601
http://www.wikidata.org/entity/Q24775136,D000808
http://www.wikidata.org/entity/Q259626,D001228
http://www.wikidata.org/entity/Q268828,D003446
http://www.wikidata.org/entity/Q246070,D003537
http://www.wikidata.org/entity/Q259930,D005672
http://www.wikidata.org/entity/Q251124,D007769
http://www.wikidata.org/entity/Q258362,D009758
http://www.wikidata.org/entity/Q264976,D010526
http://www.wikidata.org/entity/Q252251,D014805
http://www.wikidata.org/entity/Q246710,D014851
http://www.wikidata.org/entity/Q249697,D019504
http://www.wikidata.org/entity/Q249697,D019505
